url_w,title_w,body_w,header_w,anchor_w,relevance
-0.060216,-0.058609,-0.121196,0,0.05305,+1
-0.049327,0.030108,-0.037136,-0.021211,0.05305,+1
-0.067089,-0.065299,-0.109266,-0.114251,0.05305,+1
-0.068145,0.030108,-0.005096,0,0.05305,+1
-0.053106,-0.025532,-0.04535,-0.032651,0.051648,+1
-0.007929,0.088717,0.1161,0,0,+1
0.00711,0.033078,0.075846,-0.032651,-0.001402,+1
3.215759,3.099528,0.22014,1.225329,0.054752,+1
3.208371,3.092337,0.255619,1.219589,0.054752,+1
3.293387,3.175085,-0.016547,1.258223,0.054752,+1
-0.016887,-0.094555,0.020807,-0.054276,0,+1
-0.024274,-0.101746,0.056285,-0.060016,0,+1
0.060742,-0.018997,-0.215881,-0.021382,0,+1
-0.000876,-0.000853,-0.092936,-0.038764,0,+1
-0.001932,0.094555,0.011233,0.075486,0,+1
0.013108,0.038915,-0.02902,0.042836,-0.001402,+1
-0.001056,0.095407,0.104169,0.114251,0,+1
0.013984,0.039768,0.063915,0.0816,-0.001402,+1
0.085016,0.082748,-0.272166,0.038635,0,+1
0.07956,-0.018997,-0.247921,-0.042592,0,+1
-3.281972,-3.163975,-0.23647,-1.300816,-0.001702,+1
-0.066213,-0.064447,-0.01633,-0.075486,0.05305,+1
-0.073601,-0.071638,0.019149,-0.081227,0.05305,+1
0.011415,0.01111,-0.253017,-0.042592,0.05305,+1
-0.013386,-0.013028,0.140345,-0.081227,0,+1
0.071631,0.06972,-0.131821,-0.042592,0,+1
3.232645,3.194082,0.199334,1.279605,0.054752,+1
3.214883,3.098675,0.127205,1.186565,0.054752,+1
3.213827,3.194082,0.231374,1.300816,0.054752,+1
3.228866,3.138443,0.19112,1.268165,0.053349,+1
-0.017762,-0.095407,-0.072129,-0.09304,0,+1
-0.018818,0,0.03204,0.021211,0,+1
-0.003779,-0.05564,-0.008214,-0.01144,-0.001402,+1
-0.007388,-0.007191,0.035479,-0.005741,0,+1
0.077629,0.075557,-0.236687,0.032894,0,+1
-0.006512,-0.006338,0.128414,0.033023,0,+1
0.078504,0.07641,-0.143752,0.071658,0,+1
0.005456,0.101746,-0.024245,0.081227,0,+1
0.020496,0.046106,-0.064499,0.048576,-0.001402,+1
-0.060216,-0.058609,-0.121196,0,0.05305,+1
-0.049327,0.030108,-0.037136,-0.021211,0.05305,+1
